series,sn_num,temperature,temp_value,n_pt,n_sn,total_atoms,q6,q6_std,pt_q6,sn_q6,pt_cn_total,pt_pt_bonds_per_pt,pt_sn_bonds_per_pt,sn_cn_total,sn_sn_bonds_per_sn,sn_pt_bonds_per_sn,rg,d_sn_pt,n_runs
Pt8Snx,8,1100K,1100,8.0,8.0,16.0,0.14149090585205898,0.034636872920112395,0.0,0.0,4.405016137712731,0.25291857493272174,0.2977084422813697,3.3655596032147153,0.12298650812046959,0.2977084422813698,3.3534395969492152,0.9944902370915154,10
Pt8Snx,9,200K,200,8.0,9.0,17.0,0.18823795196226903,0.013300987932216487,0.0,0.0,4.747080378618246,0.18470945748471101,0.4086755898425697,4.529703955543448,0.18039626975267375,0.32290416975215386,3.1496435380963743,0.5204077499175055,7
Pt8Snx,9,300K,300,8.0,9.0,17.0,0.1839696816878998,0.016339573399633572,0.0,0.0,4.739585559182195,0.18564683678478375,0.4068013581129907,4.505562156840043,0.17919472212751825,0.32142329529915314,3.151014891066038,0.5306318869721702,10
Pt8Snx,9,400K,400,8.0,9.0,17.0,0.15323760348881726,0.028318186619722113,0.0,0.0,4.97971917527879,0.2576238764769792,0.36484102043286953,3.8109493789040103,0.1351693716349684,0.28826944824325496,3.240437385835063,0.9628870186820464,10
Pt8Snx,9,500K,500,8.0,9.0,17.0,0.1548411245043805,0.02883685638473469,0.0,0.0,4.945558599973268,0.25614359304981515,0.3620512319468433,3.7521209620728184,0.13083715819823946,0.2860651709209626,3.2524136491365345,0.9834218400830756,10
Pt8Snx,9,600K,600,8.0,9.0,17.0,0.16669735565264018,0.035737183824746555,0.0,0.0,5.101827906594466,0.29954606068506,0.3381824276392482,3.4279205715839174,0.11367419475732558,0.2672058687519986,3.2912203659542216,1.2567410312077643,10
Pt8Snx,9,700K,700,8.0,9.0,17.0,0.1506454187772699,0.031570293705207655,0.0,0.0,4.7162846823504925,0.2463086636330598,0.3432269216607518,3.472054612805921,0.11459220406129851,0.27119164180602606,3.4164874408788157,1.0213533648135165,10
Pt8Snx,9,800K,800,8.0,9.0,17.0,0.1477899273549529,0.03315784777254985,0.0,0.0,4.701282624507394,0.24684618448085321,0.3408141435825713,3.4765891271531806,0.1170024315443712,0.26928524925042663,3.405945548675233,1.0214532236818559,10
Pt8Snx,9,900K,900,8.0,9.0,17.0,0.14637485458078278,0.03578526590582519,0.0,0.0,4.72823134922398,0.26681711360757804,0.3242118050454194,3.385968052625465,0.12005132037928816,0.2561673521346524,3.4017976139333777,1.156393344973018,10
Pt8Snx,9,1000K,1000,8.0,9.0,17.0,0.14046032120396965,0.03356111383526655,0.0,0.0,4.352341337200859,0.2326558901338085,0.31138677701629885,3.2731735237983024,0.11765195043384687,0.2460339966548534,3.981567097926746,0.9812056816055497,10
